Transect	Distance	Layer	StrS	StrD
Tundra1	99	Ground	9	4.33333333333333
Tundra1	100	Ground	8	4
Tundra1	101	Ground	7	3.66666666666667
Tundra1	102	Ground	9	4.33333333333333
Tundra1	103	Ground	11	5.33333333333333
Tundra1	104	Ground	7	3.33333333333333
Tundra1	105	Ground	9	4.66666666666667
Tundra1	106	Ground	8	4
Tundra1	107	Ground	9	4
Tundra1	108	Ground	11	5
Tundra1	109	Ground	7	3
Tundra1	110	Ground	10	4.33333333333333
Tundra1	111	Ground	11	5.33333333333333
Tundra1	112	Ground	11	5.33333333333333
Tundra1	113	Ground	11	5.33333333333333
Tundra1	114	Ground	11	5.33333333333333
Tundra1	115	Ground	10	4.66666666666667
Tundra1	116	Ground	10	5
Tundra1	117	Ground	10	5
Tundra1	118	Ground	9	4
Tundra1	119	Ground	10	5.33333333333333
Tundra1	120	Ground	9	4.33333333333333
Tundra1	121	Ground	7	3.66666666666667
Tundra1	122	Ground	8	4
Tundra1	123	Ground	11	5.33333333333333
Tundra1	124	Ground	10	4.66666666666667
Tundra1	125	Ground	7	3.66666666666667
Tundra1	126	Ground	7	3.33333333333333
Tundra1	127	Ground	9	4.66666666666667
Tundra1	128	Ground	9	4.33333333333333
Tundra1	129	Ground	7	3.33333333333333
Tundra1	130	Ground	9	4.33333333333333
Tundra1	131	Ground	9	4.66666666666667
Tundra1	132	Ground	11	5.33333333333333
Tundra1	133	Ground	8	4.33333333333333
Tundra1	134	Ground	8	4.33333333333333
Tundra1	135	Ground	9	4
Tundra1	136	Ground	9	4.66666666666667
Tundra1	137	Ground	8	4.33333333333333
Tundra1	138	Ground	7	3.66666666666667
Tundra1	139	Ground	7	3.66666666666667
Tundra1	140	Ground	9	4.33333333333333
Tundra1	141	Ground	9	4.66666666666667
Tundra1	142	Ground	9	4.66666666666667
Tundra1	143	Ground	7	3.33333333333333
Tundra1	144	Ground	9	4.33333333333333
Tundra1	145	Ground	9	4.33333333333333
Tundra1	146	Ground	12	5.66666666666667
Tundra1	147	Ground	10	5
Tundra1	148	Ground	9	4.66666666666667
Tundra1	149	Ground	10	4.66666666666667
Tundra1	150	Ground	11	5.33333333333333
Tundra1	151	Ground	10	4.66666666666667
Tundra1	152	Ground	10	4.66666666666667
Tundra1	153	Ground	9	4.33333333333333
Tundra1	154	Ground	9	4.33333333333333
Tundra1	155	Ground	10	5
Tundra1	156	Ground	9	4.66666666666667
Tundra1	157	Ground	8	4
Tundra1	158	Ground	11	5.33333333333333
Tundra1	159	Ground	10	5
Tundra1	160	Ground	10	5
Tundra1	161	Ground	10	5
Tundra1	162	Ground	9	4.66666666666667
Tundra1	163	Ground	10	4.66666666666667
Tundra1	164	Ground	10	5
Tundra1	165	Ground	11	5.33333333333333
Tundra1	166	Ground	8	4.33333333333333
Tundra1	167	Ground	8	4.33333333333333
Tundra1	168	Ground	10	5
Tundra1	169	Ground	9	4.33333333333333
Tundra1	170	Ground	11	5
Tundra1	171	Ground	10	5
Tundra1	172	Ground	10	5
Tundra1	173	Ground	9	4.66666666666667
Tundra1	174	Ground	10	5
Tundra1	175	Ground	9	4.33333333333333
Tundra1	176	Ground	10	5
Tundra1	177	Ground	10	5
Tundra1	178	Ground	11	5.33333333333333
Tundra1	179	Ground	8	4.33333333333333
Tundra1	180	Ground	8	4.33333333333333
Tundra1	181	Ground	10	5
Tundra1	182	Ground	10	5.66666666666667
Tundra1	183	Ground	9	4.33333333333333
Tundra1	184	Ground	10	5
Tundra1	185	Ground	11	5.33333333333333
Tundra1	186	Ground	9	4.66666666666667
Tundra1	187	Ground	9	4.33333333333333
Tundra1	188	Ground	9	4.66666666666667
Tundra1	189	Ground	9	4.66666666666667
Tundra1	190	Ground	12	5.33333333333333
Tundra1	191	Ground	12	5.33333333333333
Tundra1	192	Ground	9	4.33333333333333
Tundra1	193	Ground	11	5
Tundra1	194	Ground	11	5
Tundra1	195	Ground	12	6
Tundra1	196	Ground	12	5.66666666666667
Tundra1	197	Ground	9	4.33333333333333
Tundra1	198	Ground	12	5.33333333333333
Tundra1	199	Ground	12	5.66666666666667
Tundra1	200	Ground	11	5.66666666666667
Tundra1	201	Ground	12	6.33333333333333
Tundra1	202	Ground	10	5.66666666666667
Tundra1	203	Ground	12	6.33333333333333
Tundra1	204	Ground	12	5.66666666666667
Tundra1	205	Ground	11	5.33333333333333
Tundra1	206	Ground	12	6.33333333333333
Tundra1	207	Ground	11	5.66666666666667
Tundra1	208	Ground	11	6
Tundra1	209	Ground	9	5
Tundra1	210	Ground	12	5.33333333333333
Tundra1	211	Ground	10	4.66666666666667
Tundra1	212	Ground	10	4.66666666666667
Tundra1	213	Ground	10	5.66666666666667
Tundra1	214	Ground	11	5.33333333333333
Tundra1	215	Ground	11	5.33333333333333
Tundra1	216	Ground	11	5.33333333333333
Tundra1	217	Ground	10	5.66666666666667
Tundra1	218	Ground	7	4.66666666666667
Tundra1	219	Ground	6	4
Tundra1	220	Ground	4	3.33333333333333
Tundra1	221	Ground	5	3.66666666666667
Tundra1	222	Ground	5	3.66666666666667
Tundra1	223	Ground	5	3.61111111111111
Tundra1	224	Ground	5	3.61111111111111
Tundra1	225	Ground	4	3.33333333333333
Tundra1	226	Ground	6	4.33333333333333
Tundra1	227	Ground	6	3.94444444444444
Tundra2	1	Ground	4	3
Tundra2	2	Ground	9	5.33333333333333
Tundra2	3	Ground	10	5.66666666666667
Tundra2	4	Ground	11	5.94444444444444
Tundra2	5	Ground	10	5.66666666666667
Tundra2	6	Ground	9	4.33333333333333
Tundra2	7	Ground	10	5
Tundra2	8	Ground	10	5
Tundra2	9	Ground	9	4.33333333333333
Tundra2	10	Ground	9	4.66666666666667
Tundra2	11	Ground	10	5
Tundra2	12	Ground	8	4.33333333333333
Tundra2	13	Ground	8	4
Tundra2	14	Ground	10	5
Tundra2	15	Ground	9	5.33333333333333
Tundra2	16	Ground	8	4
Tundra2	17	Ground	8	3.66666666666667
Tundra2	18	Ground	11	5.33333333333333
Tundra2	19	Ground	10	5.66666666666667
Tundra2	20	Ground	10	5
Tundra2	21	Ground	9	4.66666666666667
Tundra2	22	Ground	10	5
Tundra2	23	Ground	9	4.66666666666667
Tundra2	24	Ground	10	5.66666666666667
Tundra2	25	Ground	11	6
Tundra2	26	Ground	10	5.66666666666667
Tundra2	27	Ground	9	5.27777777777778
Tundra2	28	Ground	8	4.66666666666667
Tundra2	29	Ground	11	6
Tundra2	30	Ground	9	5
Tundra2	31	Ground	7	4.33333333333333
Tundra2	32	Ground	9	5.33333333333333
Tundra2	33	Ground	10	5.33333333333333
Tundra2	34	Ground	7	4.33333333333333
Tundra2	35	Ground	7	4.66666666666667
Tundra2	36	Ground	9	5.33333333333333
Tundra2	37	Ground	9	5.33333333333333
Tundra2	38	Ground	8	4
Tundra2	39	Ground	9	5.33333333333333
Tundra2	40	Ground	10	5.66666666666667
Tundra2	41	Ground	10	5.66666666666667
Tundra2	42	Ground	8	4.33333333333333
Tundra2	43	Ground	9	5.33333333333333
Tundra2	44	Ground	11	5.33333333333333
Tundra2	45	Ground	10	4.66666666666667
Tundra2	46	Ground	9	5.33333333333333
Tundra2	47	Ground	8	5
Tundra2	48	Ground	10	5.66666666666667
Tundra2	49	Ground	9	5.33333333333333
Tundra2	50	Ground	7	3.33333333333333
Tundra2	51	Ground	9	4.66666666666667
Tundra2	52	Ground	9	4.66666666666667
Tundra2	53	Ground	10	5
Tundra2	54	Ground	10	5
Tundra2	55	Ground	8	5
Tundra2	56	Ground	8	4.66666666666667
Tundra2	57	Ground	10	5.66666666666667
Tundra2	58	Ground	8	5
Tundra2	59	Ground	10	5.66666666666667
Tundra2	60	Ground	10	5.66666666666667
Tundra2	61	Ground	7	4.33333333333333
Tundra2	62	Ground	9	5
Tundra2	63	Ground	9	5
Tundra2	64	Ground	11	6
Tundra2	65	Ground	8	4.66666666666667
Tundra2	66	Ground	9	5
Tundra2	67	Ground	10	5.33333333333333
Tundra2	68	Ground	11	5
Tundra2	69	Ground	9	5.33333333333333
Tundra2	70	Ground	10	5.66666666666667
Tundra2	71	Ground	8	5
Tundra2	72	Ground	9	5.33333333333333
Tundra2	73	Ground	8	4.33333333333333
Tundra2	74	Ground	9	5.33333333333333
Tundra2	75	Ground	8	5
Tundra2	76	Ground	8	5
Tundra2	77	Ground	9	5.33333333333333
Tundra2	78	Ground	7	4.66666666666667
Tundra2	79	Ground	8	5
Tundra2	80	Ground	8	4.94444444444444
Tundra2	81	Ground	4	3.33333333333333
Tundra3	1	Ground	2	1.33333333333333
Tundra3	2	Ground	6	4.33333333333333
Tundra3	3	Ground	7	4.33333333333333
Tundra3	4	Ground	9	4.66666666666667
Tundra3	5	Ground	11	5.33333333333333
Tundra3	6	Ground	9	4.66666666666667
Tundra3	7	Ground	9	4.33333333333333
Tundra3	8	Ground	8	4
Tundra3	9	Ground	10	5
Tundra3	10	Ground	11	5.33333333333333
Tundra3	11	Ground	10	5
Tundra3	12	Ground	11	5.33333333333333
Tundra3	13	Ground	11	5.33333333333333
Tundra3	14	Ground	11	5.33333333333333
Tundra3	15	Ground	10	5
Tundra3	16	Ground	10	5
